Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependencies),Custom field (Design),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Effort 10),Custom field (Effort Impact custom score),Custom field (Effort T-shirt size),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Impact),Custom field (Impact 10),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Oversubscription score),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Sample team),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value score),Custom field (Value to end user),Custom field (Value to product/tech),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
"La API devuelve un 200 OK y en el campo de ""isItPossibleToDeliver"" sigue apareciendo un true a pesar de que todos los datos no deberían de poderse calcular.",TS-13,10113,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 1:50 PM,17/Sep/25 1:50 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57348d5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 1:50 PM
"La API devuelve un 200 OK cuando debería de devolver un 400 Bad Request al exceder el limite superior de ""productsWeight"".",TS-12,10112,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 1:42 PM,17/Sep/25 1:42 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72157bf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 1:42 PM
"La API devuelve un 200 OK cuando se excede el limite superior del requerimiento en ""productsCount"".",TS-11,10111,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 1:37 PM,17/Sep/25 1:37 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f38882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 1:37 PM
"La API devuelve un resultado 200 OK cuando se coloca un dato por encima del limite superior en ""deliveryTime"" cuando debe de ser 400 Bad Request.",TS-10,10110,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 1:31 PM,17/Sep/25 1:31 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21e8b0b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 1:31 PM
"La API devuelve un resultado 200 OK al colocar un dato por debajo del limite en ""deliveryTime"".",TS-9,10109,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 1:25 PM,17/Sep/25 1:25 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@caeafe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 1:25 PM
"La API no tira error al utilizar un dato en ""quantity"" por encima del limite superior.",TS-8,10108,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 11:07 AM,17/Sep/25 11:07 AM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1386916e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 11:07 AM
"La API no lanza la solicitud con el resultado correcto al probar el limite superior de ""deliverytime"" siendo 22 estipulado en los requerimientos.",TS-7,10107,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,17/Sep/25 10:48 AM,17/Sep/25 10:48 AM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a159a2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,,,,,,,,,To Do,17/Sep/25 10:48 AM
La API devuelve un 200 OK cuando debería devolver un 400 Not Found al borrar un kit que ya ha sido eliminado o NO EXISTENTE.,TS-6,10106,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,16/Sep/25 4:01 PM,16/Sep/25 4:01 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e1cfede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,,,,,,,,,,,,,,,,To Do,16/Sep/25 4:01 PM
"La API genera un kit con un ""name"" que contiene números cuando estipulan en los requerimientos que solo letras, guiones y espacios.",TS-5,10105,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,16/Sep/25 3:33 PM,16/Sep/25 3:33 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@259560bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,,,,,,,,,,,,To Do,16/Sep/25 3:33 PM
"La API crea un kit con un ""name"" utilizando mas de 15 caracteres cuando en los requerimientos estipula el limite como 15.",TS-4,10104,Bug,To Do,TS,TripleTenProject Sprint#4,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,16/Sep/25 3:27 PM,16/Sep/25 3:27 PM,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@730499fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,,,,,,,,,,,,To Do,16/Sep/25 3:27 PM
